Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language
xQcOW,6196161750,215250,222720,27716,3246298,1734810,93036735,True,False,English
summit1g,6091677300,211845,310998,25610,5310163,1370184,89705964,True,False,English
Gaules,5644590915,515280,387315,10976,1767635,1023779,102611607,True,True,Portuguese
ESL_CSGO,3970318140,517740,300575,7714,3944850,703986,106546942,True,False,English
Tfue,3671000070,123660,285644,29602,8938903,2068424,78998587,True,False,English
Asmongold,3668799075,82260,263720,42414,1563438,554201,61715781,True,False,English
NICKMERCS,3360675195,136275,115633,24181,4074287,1089824,46084211,True,False,English
Fextralife,3301867485,147885,68795,18985,508816,425468,670137548,True,False,English
loltyler1,2928356940,122490,89387,22381,3530767,951730,51349926,True,False,English
Anomaly,2865429915,92880,125408,12377,2607076,1532689,36350662,True,False,English
TimTheTatman,2834436990,108780,142067,25664,5265659,1244341,50119786,True,True,English
LIRIK,2832930285,128490,89170,21739,2666382,199077,50504526,True,False,English
Riot Games (riotgames),2674646715,80820,639375,20960,4487489,497678,56855694,True,False,English
Rubius,2588632635,58275,240096,42948,5751354,3820532,58599449,True,False,Spanish
auronplay,2410022550,40575,170115,53986,3983847,3966525,41514854,True,False,Spanish
MontanaBlack88,2408460990,67740,181600,33514,2911316,1101093,37189666,True,True,German
sodapoppin,2329440420,115305,107833,19659,2786162,236169,39334821,True,True,English
